age,employment_years,annual_income,monthly_income,savings_balance,total_assets,total_liabilities,credit_cards,existing_loans,monthly_payment,loan_amount,loan_term,dependents,marital_status,education,employment_status,home_ownership,loan_purpose,previous_default,debt_to_income,new_loan_payment_ratio,new_loan_payment_ratio_binned,ratio_times_debt,risk_score,loan_approved
39,2,200000,16666.666666666668,1495,133019,46268,4,10891,500,38464.60600773457,6,1,married,high_school,self_employed,own,business,no,0.029999999998199998,0.3846460600773457,1.0,0.011539381801628007,39.805161004763704,0
33,2,200000,16666.666666666668,2215,70103,25314,3,9298,500,24251.759452457856,36,1,divorced,master,retired,rent,car,no,0.029999999998199998,0.04041959908742976,0.0,0.0012125879725501374,89.25240022841096,0
41,7,200000,16666.666666666668,4122,50000,11603,1,10214,500,28240.294164079445,12,2,married,master,employed,own,home,no,0.029999999998199998,0.14120147082039722,1.0,0.004236044124357754,85.05377336340531,0
50,5,200000,16666.666666666668,2363,86175,29066,1,9211,500,10000.0,3,0,single,high_school,self_employed,own,business,no,0.029999999998199998,0.19999999999999998,1.0,0.005999999999639999,78.69234095261383,0
32,8,200000,16666.666666666668,1840,50000,25723,4,5148,500,24578.353815711507,24,0,divorced,bachelor,employed,rent,other,no,0.029999999998199998,0.06144588453927877,0.0,0.0018433765360677604,88.7843207308896,0
32,7,200000,16666.666666666668,2963,134053,17355,1,3887,500,41208.88197333219,24,1,married,master,self_employed,own,debt_consolidation,yes,0.029999999998199998,0.10302220493333046,1.0,0.0030906661478144735,77.33143383523155,0
50,5,200000,16666.666666666668,7616,207877,14648,2,7517,500,10000.0,24,0,married,college,employed,own,business,no,0.029999999998199998,0.024999999999999998,0.0,0.0007499999999549999,89.51608453875906,0
42,4,200000,16666.666666666668,3399,93772,100590,2,27423,500,11528.656642415857,6,0,married,bachelor,retired,mortgage,education,yes,0.029999999998199998,0.11528656642415856,1.0,0.0034585969925172407,76.71967355619444,0
30,3,200000,16666.666666666668,7028,50000,98618,0,11420,500,10000.0,3,1,single,college,employed,own,car,no,0.029999999998199998,0.19999999999999998,1.0,0.005999999999639999,78.69234095261383,0
40,9,200000,16666.666666666668,1000,50000,11413,1,5269,500,14722.928891790054,3,0,widowed,college,employed,mortgage,car,no,0.029999999998199998,0.29445857783580104,1.0,0.008833757334544005,59.39994449395633,0
30,4,200000,16666.666666666668,3280,175311,10000,2,12542,500,16114.699679871417,6,1,married,college,employed,other,business,no,0.029999999998199998,0.16114699679871416,1.0,0.00483440990367136,83.34927840047696,0
30,8,200000,16666.666666666668,2695,50000,27107,3,6819,500,11305.046965538762,6,0,married,high_school,employed,rent,car,yes,0.029999999998199998,0.1130504696553876,1.0,0.003391514089458137,76.83880388904718,0
